연번,시설명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,종사원,시설유형,비고,데이터기준일자
1,1004보금자리,전라남도 신안군 압해읍 구항길 92-76,전라남도 신안군 압해읍 동서리 69-66,34.85156882,126.3148028,061-275-0767,27,장애인거주시설,지적장애인거주시설,2026-06-08
2,꿈이있는집,전라남도 신안군 압해읍 동서길 102-15,전라남도 신안군 압해읍 동서리 738-3,34.86733316,126.2950583,061-271-9227,15,장애인거주시설,지적장애인거주시설,2026-06-08
3,신안군 수어통역센터,"전라남도 신안군 압해읍 압해로 876-20, 3층",전라남도 신안군 압해읍 학교리 588-7,34.866039,126.3128589,061-271-2119,5,장애인지역사회재활시설,청각및언어장애인 수어통역서비스 제공,2026-06-08
4,신안군 생활이동지원센터,전라남도 신안군 압해읍 압해로 861 2층,전라남도 신안군 압해읍 학교리 654-1,34.86450245,126.3145103,061-271-8899,2,장애인지역사회재활시설,시각장애인 생활이동지원 서비스 제공,2026-06-08
5,숲누리장애인주간보호센터,전라남도 신안군 압해읍 수련의금길 46-11,전라남도 신안군 압해읍 신장리 510-13,34.84183298,126.3586078,061-271-8277,4,장애인지역사회재활시설,등록장애인 낮 시간동안 재활 및 교육프로그램 등 제공,2026-06-08
6,신안군중증장애인자립생활지원센터,"전라남도 신안군 압해읍 압해로 876-20, 3층",전라남도 신안군 압해읍 학교리 588-7,34.866039,126.3128589,061-246-0013,6,장애인자립생활지원시설,중증장애인을 대상으로 자립생활 정보제공등의 서비스 제공,2026-06-08
