dong_name,visitor_share_pct,sales_share_pct
죽항동,12.556387228294266,14.656665200174658
도통동,9.367981003564521,20.796345231614033
금동,9.277673124142108,11.83235679550108
노암동,8.762691996066927,7.47433502935791
향교동,8.045115950282659,9.39125151709843
산내면,7.988833607849986,2.3195907322247424
동충동,5.221207432514901,2.0619703736008486
인월면,4.630615252216662,3.809456332199984
대산면,4.561275324377521,8.786466310108317
주천면,4.503027940845625,2.4250671868955416
왕정동,4.008623395375665,9.096060376925367
운봉읍,3.853118771745631,1.7203542333517459
아영면,2.6349818030329892,2.411576900447625
이백면,2.1131261046888867,0.2508489712322948
금지면,1.9659109219002615,0.6055421875439503
사매면,1.8929390489637532,0.32456762307799814
산동면,1.7354263541374326,0.12186634598824854
수지면,1.6982176144911272,1.0408166023982535
대강면,1.369292478960921,0.13051097408221657
주생면,1.0433743275945424,0.43940597564858797
송동면,1.0356483761194397,0.1779858763737929
덕과면,1.0236962543970485,0.033625421792423574
보절면,0.7108356884371401,0.09333380236194938
