target,variant,cutoff,mae_ratio
nonlocal_visitors,C2_yoy_prev_lad5,202202,0.7601161295005282
nonlocal_visitors,C2_yoy_prev_lad5,202203,0.7818042510270565
nonlocal_visitors,C2_yoy_prev_lad5,202204,1.0372873244247887
nonlocal_visitors,C2_yoy_prev_lad5,202205,1.2183440440377868
nonlocal_visitors,C2_yoy_prev_lad5,202206,1.2285967239984397
nonlocal_visitors,C2_yoy_prev_lad5,202207,1.0074697170623905
nonlocal_visitors,C2_yoy_prev_lad5,202208,0.9806521276842693
nonlocal_visitors,C2_yoy_prev_lad5,202209,1.0189382631324784
nonlocal_visitors,C2_yoy_prev_lad5,202210,1.0549286531276467
nonlocal_visitors,C2_yoy_prev_lad5,202211,0.9253513684449377
nonlocal_visitors,C2_yoy_prev_lad5,202212,1.1637450536223313
nonlocal_visitors,C2_yoy_prev_lad5,202301,1.6391980110386366
nonlocal_visitors,C2_yoy_prev_lad5,202302,1.4221847344578116
nonlocal_visitors,C2_yoy_prev_lad5,202303,0.9736017056338854
nonlocal_visitors,C2_yoy_prev_lad5,202304,0.8457391867618335
nonlocal_visitors,C2_yoy_prev_lad5,202305,0.9967346947228494
nonlocal_visitors,C2_yoy_prev_lad5,202306,1.0664019585886222
nonlocal_visitors,C2_yoy_prev_lad5,202307,0.7675445160715113
nonlocal_visitors,C2_yoy_prev_lad5,202308,0.7873596015715438
nonlocal_visitors,C2_yoy_prev_lad5,202309,0.7749603689354654
nonlocal_visitors,C2_yoy_prev_lad5,202310,1.1090379523586116
observed_sales_krw,A0_shipped_zero,201907,0.9492246298242076
observed_sales_krw,A0_shipped_zero,201908,2.6003395971481265
observed_sales_krw,A0_shipped_zero,201909,6.101822531694983
observed_sales_krw,A0_shipped_zero,201910,1.8893683220717223
observed_sales_krw,A0_shipped_zero,201911,2.489882786459456
observed_sales_krw,A0_shipped_zero,201912,1.4218375426089498
observed_sales_krw,A0_shipped_zero,202206,1.0984777439759872
observed_sales_krw,A0_shipped_zero,202207,0.9867205907007307
observed_sales_krw,A0_shipped_zero,202208,1.0851788483418554
observed_sales_krw,A0_shipped_zero,202209,0.9765889295683221
observed_sales_krw,A0_shipped_zero,202210,1.0903464329211148
observed_sales_krw,A0_shipped_zero,202211,0.8537067715694747
observed_sales_krw,A0_shipped_zero,202212,0.9455555765633348
observed_sales_krw,A0_shipped_zero,202301,0.8860788884818451
observed_sales_krw,A0_shipped_zero,202302,1.0390114974438238
observed_sales_krw,A0_shipped_zero,202303,0.8948560034789269
observed_sales_krw,A0_shipped_zero,202304,0.8932061845875714
observed_sales_krw,A0_shipped_zero,202305,1.0853198223680762
observed_sales_krw,A0_shipped_zero,202306,0.7793149587809953
observed_sales_krw,A0_shipped_zero,202307,0.8486060101703798
observed_sales_krw,A0_shipped_zero,202308,1.179259440722502
observed_sales_krw,A0_shipped_zero,202309,1.1236172180145003
observed_sales_krw,A0_shipped_zero,202310,1.2876524906215734
observed_sales_krw,A0_shipped_zero,202311,1.1545223607073676
observed_sales_krw,A0_shipped_zero,202312,1.28689664028694
observed_sales_krw,C2_yoy_prev_lad5,201907,0.9508566975225643
observed_sales_krw,C2_yoy_prev_lad5,201908,2.0592931930156513
observed_sales_krw,C2_yoy_prev_lad5,201909,1.2533120201337322
observed_sales_krw,C2_yoy_prev_lad5,201910,0.8657247390368102
observed_sales_krw,C2_yoy_prev_lad5,201911,1.6520324995940823
observed_sales_krw,C2_yoy_prev_lad5,201912,1.147524924741289
observed_sales_krw,C2_yoy_prev_lad5,202206,1.0604824475812822
observed_sales_krw,C2_yoy_prev_lad5,202207,0.954621139085297
observed_sales_krw,C2_yoy_prev_lad5,202208,0.8362325705981112
observed_sales_krw,C2_yoy_prev_lad5,202209,0.8862053258995993
observed_sales_krw,C2_yoy_prev_lad5,202210,0.8748555195153787
observed_sales_krw,C2_yoy_prev_lad5,202211,0.7675144756563189
observed_sales_krw,C2_yoy_prev_lad5,202212,0.8675879752284278
observed_sales_krw,C2_yoy_prev_lad5,202301,0.9284158350962111
observed_sales_krw,C2_yoy_prev_lad5,202302,0.9316639693155518
observed_sales_krw,C2_yoy_prev_lad5,202303,0.7835219324370022
observed_sales_krw,C2_yoy_prev_lad5,202304,0.7694573497500993
observed_sales_krw,C2_yoy_prev_lad5,202305,0.8334785441051987
observed_sales_krw,C2_yoy_prev_lad5,202306,0.703171642094822
observed_sales_krw,C2_yoy_prev_lad5,202307,0.7325106475770026
observed_sales_krw,C2_yoy_prev_lad5,202308,0.9553201547209089
observed_sales_krw,C2_yoy_prev_lad5,202309,1.0320627554353432
observed_sales_krw,C2_yoy_prev_lad5,202310,1.0518042734582849
observed_sales_krw,C2_yoy_prev_lad5,202311,0.9659841900808166
observed_sales_krw,C2_yoy_prev_lad5,202312,0.9787723222444231
