date,local_visitors
2025-08-14,3737.9999614999997
2025-08-15,3129.000049000003
2025-08-16,3328.499999999997
2025-08-17,3657.500035
2025-08-18,3373.9999684999966
2025-08-19,4035.5000070000065
2025-08-20,4189.499985999997
2025-08-21,4000.4999789999974
2025-08-22,4045.9999790000024
2025-08-23,3335.499961499995
2025-08-24,3510.5000350000028
2025-08-25,3601.5000350000014
2025-08-26,3902.500007000007
2025-08-27,4263.000014000004
2025-08-28,4322.500027999995
2025-08-29,7808.499978999997
2025-08-30,10902.50002099999
2025-08-31,10076.499940499996
2025-09-01,4532.500013999996
2025-09-02,4546.499979000009
2025-09-03,4353.999978999999
2025-09-04,4913.999975499995
2025-09-05,4630.500024500002
2025-09-06,3465.000034999997
2025-09-07,4178.999968499998
2025-09-08,4728.500007000003
2025-09-09,5050.500007000007
2025-09-10,5165.999989499993
2025-09-11,5242.999992999996
2025-09-12,4885.99989500001
2025-09-13,3646.999986
2025-09-14,4147.499999999997
2025-09-15,4529.000028000005
